id_1,id_0,title_1,title_0,brand_name,category,table_name,dependency_ratio,dependency_count,similarity,max_length,min_length,jaro_winker
256,66290,청귤 수분 세럼,청귤 수분 프레쉬 세럼,구달,에센스,naver_beauty_product_info_extended_v1_211217,1.0,3,0.6667,9,6,
257,66283,청귤 수분 에멀전,청귤 수분 에멀전,구달,로션,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,7,7,
258,66389,동백 보습장벽 토너,동백 보습장벽 토너,구달,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,8,8,
259,66276,청귤 수분 미스트 토너,청귤 수분 미스트 토너,구달,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,9,9,
260,66282,수분 장벽 크림 프레쉬,수분 장벽 크림,구달,크림,naver_beauty_product_info_extended_v1_211217,1.0,3,0.6667,9,6,
260,66285,수분 장벽 크림 프레쉬,수분 장벽 크림 프레쉬,구달,크림,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,9,9,
261,66272,수분 장벽 리퀴드,수분 장벽 리퀴드,구달,에센스,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,7,7,
262,66272,수분 장벽 프레쉬 리퀴드,수분 장벽 리퀴드,구달,에센스,naver_beauty_product_info_extended_v1_211217,1.0,3,0.7,10,7,
263,66274,청귤 수분 아이 크림,청귤 수분 크림,구달,크림,naver_beauty_product_info_extended_v1_211217,1.0,3,0.75,8,6,
263,66293,청귤 수분 아이 크림,청귤 수분 아이 크림,구달,크림,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,8,8,
265,66277,각질 안티에이징 더블 세럼,각질 안티에이징 더블 세럼,구달,에센스,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,11,11,
266,66291,수분 장벽 프레쉬 아이크림,수분 장벽 아이크림,구달,크림,naver_beauty_product_info_extended_v1_211217,1.0,3,0.7273,11,8,
267,66302,워터레스트 미세 수분 미스트,워터레스트 미세 수분 미스트,구달,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,12,12,
271,570,하이드라 세럼,하이드라 세럼,굿앤닥,에센스,naver_beauty_product_info_extended_v1_211217,1.0,2,1.0,6,6,
273,574,컨트롤 블레미쉬 토너,에이씨 컨트롤 블레미쉬 토너,굿앤닥,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,3,0.75,12,9,
274,568,컨트롤 블레미쉬 소스,에이씨 컨트롤 블레미쉬 소스,굿앤닥,에센스,naver_beauty_product_info_extended_v1_211217,1.0,3,0.75,12,9,
279,53654,시크릿 미스트 쿠션 spf30,시크릿 미스트 쿠션,그라운드플랜,베이스메이크업,naver_beauty_product_info_extended_v1_211217,1.0,3,0.6154,13,8,
280,53655,셀 파워 에너지 에센스,셀파워 에너지 에센스,그라운드플랜,에센스,naver_beauty_product_info_extended_v1_211217,0.6667,2,1.0,9,9,
286,626,알로에 스킨 모이스춰 라이징 수,알로에 스킨 모이스춰 라이징 수,그라티아수,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,5,1.0,13,13,
287,626,알로에 스킨 모이스춰 라이징 수,알로에 스킨 모이스춰 라이징 수,그라티아수,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,5,1.0,13,13,
293,86233,매트 립스틱 제로 그램,제로 매트 립스틱,롬앤,립메이크업,naver_beauty_product_info_extended_v1_211217,1.0,3,0.3333,9,7,
294,90971,순수그램 커버 비비쿠션 spf35,순수그램 커버 비비쿠션 spf35 pa++,미샤,베이스메이크업,naver_beauty_product_info_extended_v1_211217,1.0,4,0.7895,19,15,
295,416,알로에 베라 모이스처 리얼 수딩젤 미스트,알로에베라 모이스처 리얼 수딩젤 미스트,과일나라,스킨/토너,naver_beauty_product_info_extended_v1_211217,0.8,4,1.0,17,17,
297,107638,그린 푸드 토너,그린푸드 토너,그레이멜린,스킨/토너,naver_beauty_product_info_extended_v1_211217,0.5,1,1.0,6,6,
298,107631,알래스카 내추럴 토너,알래스카 내추럴 토너,그레이멜린,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,9,9,
300,107651,옐로우 푸드 토너,옐로우푸드 토너,그레이멜린,스킨/토너,naver_beauty_product_info_extended_v1_211217,0.5,1,1.0,7,7,
301,107645,그린 푸드 세럼,그린푸드 세럼,그레이멜린,에센스,naver_beauty_product_info_extended_v1_211217,0.5,1,1.0,6,6,
304,107635,그린 푸드 크림,그린푸드 크림,그레이멜린,크림,naver_beauty_product_info_extended_v1_211217,0.5,1,1.0,6,6,
305,107673,히알루론산 세럼,히알루론산 세럼,그레이멜린,에센스,naver_beauty_product_info_extended_v1_211217,1.0,2,1.0,7,7,
306,107652,트러블 솔루션 스페셜 젤크림,트러블솔루션 스페셜 젤크림,그레이멜린,크림,naver_beauty_product_info_extended_v1_211217,0.6667,2,1.0,12,12,
307,107665,옐로우 푸드 크림,옐로우푸드 크림,그레이멜린,크림,naver_beauty_product_info_extended_v1_211217,0.5,1,1.0,7,7,
310,107637,스마일리 투나잇 달팽이 영양크림,스마일리 투나잇 달팽이 영양크림,그레이멜린,크림,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,14,14,
323,107672,옐로우 푸드 세럼,옐로우푸드 세럼,그레이멜린,에센스,naver_beauty_product_info_extended_v1_211217,0.5,1,1.0,7,7,
331,107654,갈락토미세스 세럼,갈락토미세스 세럼,그레이멜린,에센스,naver_beauty_product_info_extended_v1_211217,1.0,2,1.0,8,8,
331,107643,갈락토미세스 세럼,갈락토미세스,그레이멜린,에센스,naver_beauty_product_info_extended_v1_211217,1.0,1,0.75,8,6,
332,107663,글램 컬러핏 립틴트,글램 컬러핏 립틴트,그레이멜린,립메이크업,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,8,8,
335,686,티트리 카밍 토너,티트리 카밍 토너 패드,그뤼너씨,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,3,0.7778,9,7,
335,681,티트리 카밍 토너,티트리 카밍 토너,그뤼너씨,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,7,7,
338,69510,블루베리 하이드레이팅 허니 립밤,블루베리 하이드레이팅 허니 립 밤,후르디아,립메이크업,naver_beauty_product_info_extended_v1_211217,0.75,3,1.0,14,14,
340,695,카렌듈라 차징 토너,카렌듈라 차징 토너,그뤼너씨,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,8,8,
341,683,히알루론산 하이드라 엑티베이팅 토너,히알루론산 하이드라 엑티베이팅 토너,그뤼너씨,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,16,16,
