id,brand_name,product_name,selection,division,groups
99684,네이처리퍼블릭,[단종] 캘리포니아 알로에 프레시 선밀크 [SPF50+/PA+++],선케어,선크림,마일드선크림
99406,네이처리퍼블릭,[단종] 효모발효 더퍼스트 선 리퀴드 [SPF50+/PA+++],선케어,선크림,마일드선크림
99414,네이처리퍼블릭,[단종] 캘리포니아 알로에 오일프리 선블럭 [SPF30/PA++],선케어,선크림,노세범선크림
66935,헤라,[단종] 선 메이트 레포츠 [SPF50+/PA+++],선케어,선크림,워터프루프선크림
64309,헤라,[단종] 선 메이트 파우더 [SPF50/PA+++],선케어,선쿠션,마일드선쿠션
64354,토니모리,[단종] 마이써니 파우더리 피니쉬 선밀크 [SPF47/PA++],선케어,선크림,노세범선크림
84832,토니모리,[단종] UV 선셋 올오버 선 미스트 [SPF30/PA++],선케어,선스프레이,
72729,유리아쥬,[단종] 아쿠아프레시 플루이드 선 [SPF20],선케어,선베이스,
72726,유리아쥬,[단종] 베리어선 끄렘 미네랄 [SPF50+/PA+++],선케어,선크림,마일드선크림
72673,유리아쥬,베리어썬 스틱 미네랄 [SPF50+/PA+++],선케어,선스틱,
104120,아벤느,[단종] 트레 오뜨 프로텍시옹 레플렉스 솔레르 [SPF50+],선케어,선크림,마일드선크림
84409,토니모리,[단종] 타임리스 발효 스네일 선크림 [SPF47/PA+++],선케어,선에센스/세럼,
84782,토니모리,[단종] 마이써니 뽀얀 선크림 [SPF35/PA+++],선케어,선크림,마일드선크림
84737,토니모리,[단종] 마이써니 올 선스프레이 [SPF50/PA+++],선케어,선스프레이,
84676,토니모리,[단종] 마이써니 터치프리 선블록 [SPF50/PA+++],선케어,선크림,마일드선크림
84770,토니모리,[단종] 마이써니 바디 앤 패밀리 선크림 [SPF50+/PA+++],선케어,선크림,워터프루프선크림
84746,토니모리,[단종] 마이써니 워터프루프 선블록 [SPF50/PA+++],선케어,선크림,워터프루프선크림
84396,토니모리,[단종] 마이써니 워터리 선 젤 [SPF30/PA++],선케어,선젤,
84713,토니모리,[단종] 마이써니 클리어 선 스프레이 [SPF50+/PA+++],선케어,선스프레이,
84691,토니모리,[단종] UV 선셋 페이셜 선 스프레이 [SPF30/PA++],선케어,선스프레이,
96238,리리코스,[단종] 마린 더블 프로텍션 데일리 [SPF35/PA++],선케어,선베이스,
96228,리리코스,[단종] 마린 더블 프로텍션 엑스퍼트 [SPF50+/PA+++],선케어,선크림,마일드선크림
19855,시슬리,[단종] 선리아 지이 쑤엥 쏠레르 글로발 앙티아쥬 [SPF30/PA+++],선케어,선크림,마일드선크림
19863,시슬리,[단종] 선리아 에이지 미니마이징 애프터 선케어,선케어,애프터선,수딩젤
19876,시슬리,[단종] 쉬뻬 스틱 쏠레르 [SPF30],선케어,선스틱,
50945,스킨푸드,[단종] 프리미엄 토마토 쿨 앤 드라이 선스프레이 [SPF50+/PA+++],선케어,선스프레이,
50604,스킨푸드,[단종] 알로에 워터프루프 선 [SPF50+/PA+++],선케어,선크림,워터프루프선크림
50975,스킨푸드,[단종] 브로콜리 선 크림 [SPF42/PA+++],선케어,선크림,마일드선크림
50992,스킨푸드,[단종] 토마토 링클 선 크림 [SPF36/PA++],선케어,선크림,마일드선크림
50870,스킨푸드,[단종] 알로에 트리플 선 [SPF50+/PA+++],선케어,선크림,마일드선크림
50671,스킨푸드,[단종] 풋사과 포어 선 [SPF50+/PA+++],선케어,선크림,노세범선크림
50987,스킨푸드,[단종] 골드키위 선 크림 [SPF36/PA++],선케어,선크림,마일드선크림
50946,스킨푸드,[단종] 알로에 데일리 선 로션 [SPF50+/PA+++],선케어,선크림,마일드선크림
50953,스킨푸드,[단종] 피치사케 선 로션 [SPF32/PA++],선케어,선크림,마일드선크림
50185,스킨푸드,[단종] 레드오렌지 선 팩트 [SPF50+/PA+++],선케어,선쿠션,마일드선쿠션
50347,스킨푸드,[단종] 알로에 멀티 수딩 젤,선케어,에프터선,수딩젤
31097,조르지오아르마니,[단종] 루미네센스 브라이트 UV 프로텍팅 플루이드 [SPF50/PA+++],선케어,선크림,마일드선크림
102318,시세이도,어반 인바이런먼트 UV 프로텍션 크림 플러스 [SPF50+/PA+++],선케어,선크림,마일드선크림
102379,시세이도,[단종] 어반 인바이런먼트 UV 프로텍터 엑스트라 마일드 [SPF30/PA+++],선케어,선크림,마일드선크림
107346,록시땅,[단종] 제니빠뽀 페이스 프로텍팅 베일 [SPF30],선케어,선크림,마일드선크림
107287,록시땅,[단종] 이모르뗄 브라이트닝 UV 쉴드 [SPF40],선케어,선크림,톤업선크림
100083,엘리자베스아덴,[단종] 에잇아워 크림 썬 디펜스 포 페이스 선스크린 [SPF50/PA+++],선케어,선크림,마일드선크림
100081,엘리자베스아덴,[단종] 프리베이지 트리플 디펜스 쉴드 선스크린 [SPF50/PA+++],선케어,선크림,마일드선크림
68842,홀리카홀리카,[단종] UV 원더 쉴드 프라이머 선 [SPF36/PA++],선케어,선베이스,
68794,홀리카홀리카,[단종] UV 원더 쉴드 데일리 선 [SPF32/PA++],선케어,선크림,마일드선크림
68820,홀리카홀리카,[단종] UV 원더 쉴드 레포츠 선 [SPF50+/PA+++],선케어,선크림,워터프루프선크림
68890,홀리카홀리카,[단종] UV 원더 쉴드 스마트 선 터치 [SPF30/PA++],선케어,선쿠션,마일드선쿠션
68841,홀리카홀리카,[단종] UV 원더 쉴드 선 밀크 [SPF50+/PA+++],선케어,선크림,마일드선크림
57027,어퓨,[단종] 프레시 모이스트 선인장 100 수딩 젤,선케어,에프터선,수딩젤
64838,바닐라코,[단종] 골든 알로에 수딩 젤,선케어,에프터선,수딩젤
88365,마몽드,[단종] 로즈워터 멀티 수딩 젤,선케어,에프터선,수딩젤
97786,잇츠스킨,[단종] 2PM 선블럭 [SPF50+/PA+++],선케어,선크림,마일드선크림
94398,잇츠스킨,[단종] 스마트 솔루션365 실키 선 에센스 [SPF50+/PA+++],선케어,선에센스/세럼,
97814,잇츠스킨,[단종] 유브이 어웨이 퍼펙트 선블럭 [SPF50+/PA+++],선케어,선크림,마일드선크림
97206,잇츠스킨,스마트 솔루션365 실키 선블록 [SPF50+/PA+++],선케어,선크림,마일드선크림
97776,잇츠스킨,[단종] 유브이 어웨이 선 미스트 [SPF50+/PA+++],선케어,선스프레이,
68009,아비노,[단종] 액티브 내추럴스 하이드로 스포츠 스킨 선스프레이 [SPF30],선케어,선스프레이,
73008,베네피트,[단종] 드림 스크린 [SPF45/PA+++],선케어,선크림,마일드선크림
80522,아크웰,[단종] 센스티브 솔루션 선 컨트롤 크림 [SPF50+/PA+++],선케어,선크림,마일드선크림
80521,아크웰,[단종] 터치리스 선 컨트롤 미스트 [SPF50+/PA+++],선케어,선스프레이,
80524,아크웰,[단종] 데일리 선 컨트롤 에멀젼 [SPF50+/PA+++],선케어,선베이스,
80479,아크웰,아쿠아 캡슐 선 컨트롤 젤 [SPF35/PA++],선케어,선젤,
54639,토소웅,소프트터치 선크림 [SPF32/PA++],선케어,선크림,마일드선크림
18450,키엘,[단종] 액티베이티드 선 프로텍터 울트라 라이트 선스크린 포 페이스 [SPF50+],선케어,선크림,마일드선크림
18441,키엘,[단종] 액티베이티드 선 프로텍터 울트라 라이트 선스크린 포 바디 [SPF50+],선케어,선크림,마일드선크림
70552,폴라초이스,[단종] 하이드라라이트 샤인 프리 데일리 미네랄 컴플렉스 [SPF30],선케어,선크림,마일드선크림
2608,닥터라프린,리퀴드 선 프로텍터 [SPF50/PA+++],선케어,선크림,마일드선크림
60087,AHC,[단종] UV 캡처 무수 선스프레이 [SPF50+/PA+++],선케어,선스프레이,
