id_1,id_0,title_1,title_0,brand_name,category_1,category_0,similarity,dependency,max_length,min_length,dependency_ratio,dependency_count,jaro_winker,levenshtein_distance,levenshtein_similarity
35835,92513,세니떼 에코피칼 선 프레쉬 spf50+,세니떼 에코피칼 선프레쉬 spf50+ pa+++,코리아나,선케어,선케어,0.9242,1,22,17,1.0,5,,,
35839,92604,자인 생기 결 멜팅 오일 클렌저,자인 생기 결 멜팅 오일 클렌저,코리아나,클렌징,클렌징,1,1,12,12,1,6,,,
35845,92499,발효 녹두 맑은 마스크,발효녹두 맑은 마스크,코리아나,마스크/팩,마스크/팩,1,1,9,9,1,4,,,
35847,92495,헤로니아 모이스처 라이징 핸드 크림,헤로니아 모이스처라이징 핸드크림,코리아나,바디케어,바디케어,1,1,15,15,1,5,,,
35849,92510,세니떼 녹두 스마트 폼 클렌징,세니떼 녹두 스마트 폼 클렌징,코리아나,클렌징,클렌징,1,1,12,12,1,5,,,
35851,92575,발효녹두 영양가득 마사지 크림,발효녹두 영양가득 마사지크림,코리아나,마스크/팩,마스크/팩,1,1,13,13,1,4,,,
35855,92603,발효 녹두 깨끗한 클렌징 로션,발효녹두 깨끗한 클렌징 로션,코리아나,클렌징,클렌징,1,1,12,12,1,5,,,
35858,92529,발효 녹두 옴므 토너,발효녹두 옴므 토너,코리아나,남성화장품,남성화장품,1,1,8,8,1,4,,,
35865,92605,세니떼 퓨어 녹두 필링 젤,세니떼 녹두 필링 젤,코리아나,클렌징,클렌징,0.9333,0,10,8,1.0,4,,,
35870,92580,세니떼 옴므 블랙 쉴드 멀티 솔루션,세니떼 옴므 블랙쉴드 멀티솔루션,코리아나,남성화장품,남성화장품,1,1,14,14,1,6,,,
35871,92611,루시드 터치 퓨리파잉 립 앤 아이리무버,루시드 터치 퓨리파잉 립앤아이 리무버,코리아나,클렌징,클렌징,1,1,16,16,1,6,,,
35880,92517,세니떼 옴므 블랙 쉴드 토너,세니떼 옴므 블랙쉴드 토너,코리아나,남성화장품,남성화장품,1,1,11,11,1,5,,,
35886,32209,씻는 쌀겨 클렌징 밤,씻는 쌀겨 클렌징밤,코메이토,클렌징,클렌징,1,1,8,8,1,4,,,
35887,32210,씻는 쌀겨 효소 파우더 워시,씻는 쌀겨 효소 파우더워시,코메이토,클렌징,클렌징,1,1,11,11,1,5,,,
35891,32214,아쿠아 콜라겐 라디언스 클렌징폼,아쿠아 콜라겐 라디언스 클렌징폼,코미스킨,클렌징,클렌징,1,1,14,14,1,4,,,
35901,107373,샤이닝 드레스 펄 크림,샤이닝 드레스 크림,코스노리,바디케어,바디케어,0.963,0,9,8,1.0,3,,,
35902,107377,실크리페어 네일 크림,실크리페어 네일 크림,코스노리,네일케어,네일케어,1,1,9,9,1,3,,,
35905,107358,퍼펙트 세팅 워터프루프 마스카라,퍼펙트 세팅 워터프루프 마스카라 롱앤컬,코스노리,마스카라,마스카라,0.9412,1,17,14,1.0,4,,,
35906,104454,슈퍼프루프 피팅 브러쉬 아이라이너,슈퍼 프루프 피팅 브러쉬 아이라이너,코스노리,아이라이너,아이라이너,1,1,15,15,1,4,,,
35907,107368,올웨이즈 핏 바디 톡스 비키니코드 바디젤,올웨이즈 핏 바디톡스,코스노리,바디케어,바디케어,0.8431,1,17,9,1.0,3,,,
35910,107367,블라썸 톤업 쿠션 spf50+,블라썸 톤업 쿠션 핑크베이지 spf50+ pa+++,코스노리,베이스메이크업,베이스메이크업,0.8551,0,23,13,1.0,4,,,
35912,107364,인터코스 마이크로 액티브 립앤아이 리무버,마이크로 액티브 립앤아이 리무버,코스노리,클렌징,클렌징,0.9259,1,18,14,1.0,4,,,
35913,107380,미라클 허니 골드 마스크팩,미라클 허니 골드 마스크팩,코스노리,마스크/팩,마스크/팩,1,1,11,11,1,4,,,
35941,4724,코스메 엑스트라 프로텍션 spf40,엑스트라 프로텍션,데코르테,선케어,선케어,0.7917,1,16,8,1.0,2,,,
35943,4638,코스메 아이 글로우 젬,아이글로우 젬,데코르테,아이섀도,아이섀도,0.8889,1,9,6,1.0,2,,,
35947,111480,패밀리 천연 유기농 창포 샴푸,패밀리 창포 샴푸,코스밸리,헤어케어,헤어케어,0.8611,0,12,7,1.0,3,,,
35951,49853,카밍 폼 클렌저,카밍 폼 클렌저,코스알엑스,클렌징,클렌징,1,1,6,6,1,3,,,
35953,49835,아크네 핌플 마스터 패치,아크네 핌플 마스터 패치,코스알엑스,마스크/팩,마스크/팩,1,1,10,10,1,4,,,
35955,49868,하이드로겔 베리 심플 팩,하이드로겔 베리 심플 팩 한별팩,코스알엑스,마스크/팩,마스크/팩,0.9231,1,13,10,1.0,4,,,
